+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                         ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                     ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; generate_ACC[3].acc|Ready_Buffer|ReadyMUnit                                                                                                                                                                   ; 5     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|Ready_Buffer|RoundMUnit                                                                                                                                                                   ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|Ready_Buffer|HPM                                                                                                                                                                          ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|Ready_Buffer|TP                                                                                                                                                                           ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|Ready_Buffer|buffer                                                                                                                                                                       ; 39    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|Ready_Buffer                                                                                                                                                                              ; 36    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|HPMUnit                                                                                                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|AccumulateCounter                                                                                                                                                                         ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|DataOutValidPipelineUnit                                                                                                                                                                  ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|NOPPipelineUnit                                                                                                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|trailing_zeros_limit_comparator|auto_generated                                                                                              ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|man_res_rounding_add_sub_upper1|auto_generated                                                                                              ; 27    ; 0              ; 13           ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|man_res_rounding_add_sub_lower|auto_generated                                                                                               ; 26    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|man_add_sub_upper1|auto_generated                                                                                                           ; 33    ; 0              ; 1            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|man_add_sub_upper0|auto_generated                                                                                                           ; 33    ; 0              ; 1            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|man_add_sub_lower|auto_generated                                                                                                            ; 33    ; 0              ; 1            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|man_2comp_res_upper1|auto_generated                                                                                                         ; 33    ; 0              ; 1            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|man_2comp_res_upper0|auto_generated                                                                                                         ; 33    ; 0              ; 1            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|man_2comp_res_lower|auto_generated                                                                                                          ; 33    ; 0              ; 1            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|add_sub6|auto_generated                                                                                                                     ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|add_sub5|auto_generated                                                                                                                     ; 21    ; 0              ; 1            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|add_sub4|auto_generated                                                                                                                     ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|add_sub3|auto_generated                                                                                                                     ; 12    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|add_sub2|auto_generated                                                                                                                     ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|add_sub1|auto_generated                                                                                                                     ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder32|altpriority_encoder34                                  ; 2     ; 0              ; 1            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder32|altpriority_encoder33                                  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder32                                                        ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder31|altpriority_encoder28                                  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder31|altpriority_encoder27                                  ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder31                                                        ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; generate_ACC[3].acc|FP_AddUnit|FP_ADD_altfp_add_sub_pbj_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30                                                                              ; 8     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
